unnamed: 2,unnamed: 11,source,geographic_area,indicator,service_type,residence,time_period,observation_value,geographic area,service type,type of school,unit of measure,obs_value,data_source,iso3,country,residence type,year,coverage,population,service level,residence_type,service_level,country_name,indicator_name,value
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021.0,43.47345132743362,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017.0,28.0800252844499,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018.0,26.1683944374206,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019.0,24.25676359039175,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020.0,22.34513274336245,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021.0,20.4335018963336,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017.0,30.66036380467062,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018.0,27.88862011756805,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019.0,25.11687643046456,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020.0,22.34513274336199,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021.0,19.573389056259415,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,28.44652338811647,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018.0,30.358154235145776,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019.0,32.26978508217462,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020.0,34.18141592920392,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021.0,36.09304677623277,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,25.86618486789575,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018.0,28.63792855499833,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019.0,31.40967224210181,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020.0,34.18141592920438,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021.0,36.953159616306955,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017.0,6.540999999999997,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2017.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2018.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2019.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2020.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2021.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2017.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2018.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2019.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2020.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2021.0,7.563025210084033,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2017.0,17.45948379351741,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2018.0,17.48199279711885,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2019.0,17.50450180072029,,,,,,,,,,,,,,,,,,
,,School_hygiene.csv,Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2020.0,17.52701080432173,,,,,,,,,,,,,,,,,,
